start_time,event_type,amplitude (cts/s)
1970-01-19T20:25:00.000000,impact_mq,
1970-03-25T03:32:00.000000,impact_mq,
1970-03-26T20:17:00.000000,impact_mq,
1970-04-25T01:14:00.000000,impact_mq,
1970-04-26T14:29:00.000000,deep_mq,
1970-06-15T19:00:00.000000,impact_mq,
1970-06-26T20:01:00.000000,impact_mq,
1970-07-20T05:06:00.000000,impact_mq,
1970-07-20T11:44:00.000000,deep_mq,
1970-09-26T19:57:00.000000,impact_mq,
1970-10-24T11:31:00.000000,impact_mq,
1970-11-12T12:50:00.000000,impact_mq,
1970-12-11T07:22:00.000000,impact_mq,
1970-12-27T20:34:00.000000,deep_mq,
1970-12-31T15:41:00.000000,deep_mq,
1971-01-15T12:40:00.000000,impact_mq,
1971-01-28T14:59:00.000000,deep_mq,
1971-01-29T18:21:00.000000,impact_mq,
1971-02-09T03:42:00.000000,impact_mq,
1971-03-25T15:18:00.000000,impact_mq,
1971-04-13T12:55:00.000000,impact_mq,
1971-04-17T07:04:00.000000,shallow_mq,
1971-05-12T08:05:00.000000,impact_mq,
1971-05-12T09:45:00.000000,impact_mq,
1971-05-13T03:00:00.000000,impact_mq,
1971-05-23T22:20:00.000000,impact_mq,
1971-06-12T10:51:00.000000,impact_mq,
1971-09-25T08:57:00.000000,impact_mq,
1971-10-18T03:19:00.000000,impact_mq,
1971-10-20T18:08:00.000000,impact_mq,
1971-10-31T05:30:00.000000,impact_mq,
1971-11-14T04:17:00.000000,impact_mq,
1972-01-04T06:35:00.000000,impact_mq,
1972-03-12T18:00:00.000000,impact_mq,
1972-05-11T13:35:00.000000,impact_mq,
1972-06-16T16:11:00.000000,impact_mq,
1972-07-17T07:50:00.000000,impact_mq,
1972-07-17T21:56:00.000000,impact_mq,
1972-07-28T02:23:00.000000,impact_mq,
1972-07-31T18:08:00.000000,impact_mq,
1972-12-02T07:58:00.000000,impact_mq,
1972-12-03T02:38:00.000000,impact_mq,
1973-01-18T23:01:00.000000,impact_mq,
1973-01-31T00:44:00.000000,impact_mq,
1973-03-01T07:15:00.000000,deep_mq,
1973-03-13T08:01:00.000000,shallow_mq,
1973-03-24T19:23:00.000000,impact_mq,
1973-05-14T00:44:00.000000,impact_mq,
1973-06-05T02:38:00.000000,impact_mq,
1973-06-05T11:10:00.000000,deep_mq,
1973-06-18T01:42:00.000000,impact_mq,
1973-06-27T18:36:00.000000,impact_mq,
1973-07-03T18:15:00.000000,impact_mq,
1973-07-04T02:46:00.000000,impact_mq,
1973-07-20T19:02:00.000000,deep_mq,
1973-07-28T00:52:00.000000,impact_mq,
1973-07-29T23:31:00.000000,impact_mq,
1973-08-21T12:17:00.000000,impact_mq,
1974-01-10T23:21:00.000000,impact_mq,
1974-02-07T06:21:00.000000,impact_mq,
1974-02-12T22:30:00.000000,impact_mq,
1974-03-25T16:58:00.000000,impact_mq,
1974-04-08T08:40:00.000000,impact_mq,
1974-04-19T18:34:00.000000,impact_mq,
1974-04-26T09:18:00.000000,deep_mq,
1974-04-27T14:18:00.000000,impact_mq,
1974-06-25T00:23:00.000000,impact_mq,
1974-07-06T02:57:00.000000,impact_mq,
1974-07-06T14:14:00.000000,impact_mq,
1974-07-11T00:52:00.000000,shallow_mq,
1974-07-17T12:05:00.000000,impact_mq,
1974-10-14T17:43:00.000000,impact_mq,
1975-04-12T18:15:00.000000,impact_mq,
1975-05-04T10:05:00.000000,impact_mq,
1975-06-24T16:03:00.000000,impact_mq,
1975-06-26T03:24:00.000000,impact_mq,
